Country,Year,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu,PI
Denmark,1965,22519.81153,4.555254814,,,5.449999999,72.37073171,,5.72,125
Algeria,1965,2030.636067,6.206898211,,,,42.714,,1.1,.
Ecuador,1965,2734.524124,3.275082488,,,3.069070662,55.664,,3.9,812
Spain,1965,8932.557047,6.253134899,,,13.21413784,70.80926829,,4.48,250
Finland,1965,14065.67368,5.302857802,,,4.940588068,68.97780488,,4.84,0
France,1965,14089.58455,4.861507696,,,2.703104559,70.81219512,,4.65,312
Gabon,1965,4591.270721,8.33333566,,,2.438473696,49.752,,1.42,0
United Kingdom,1965,16876.01736,2.142176544,,,4.773774554,71.62439024,,7.46,125
Ghana,1965,1139.535293,1.36899887,,,26.44478485,47.778,,1.95,250
Greece,1965,7549.407366,10.76801051,,,3.22087247,71.42831707,,6.41,2312
Guatemala,1965,2071.636654,4.361769315,,,-0.8,47.814,,1.48,2187
Honduras,1965,1327.81998,9.037156489,,,3.18627451,51.465,,2.1,0
Haiti,1965,1616.856302,2.161797861,,,2.263942573,45.351,,0.95,1562
Hungary,1965,,,,,,69.07121951,,7.6,250
Indonesia,1965,574.8178081,1.081589467,,,306.7631103,42.599,,2.17,5375
India,1965,322.823222,-2.63577011,,,9.474758592,44.98,,1.3,5187
Ireland,1965,,,,,4.988123515,70.695,,7.09,0
Iraq,1965,,,,,-0.455580866,56.616,,0.85,3125
Iceland,1965,,7.371729299,,,7.317069428,73.86878049,,6.56,0
Israel,1965,,9.093965599,,,7.708333264,,,8.11,125
Italy,1965,12023.41272,3.26802372,,,4.519268307,70.17170732,,5.23,0
Jamaica,1965,,,,,2.631578947,65.972,,4.4,.
Jordan,1965,,,,,,57.415,,3.0,0
Japan,1965,9319.706558,5.819707873,,,6.655990943,70.26682927,,7.48,125
Kenya,1965,761.8561928,2.009094171,,,3.578528828,51.7,,1.69,.
Cambodia,1965,,,,,,44.789,,1.46,0
Kuwait,1965,,,,,,62.219,,2.85,.
Liberia,1965,,,,,,38.812,,0.93,0
Sri Lanka,1965,671.0563375,2.536953536,,,0.222783306,62.637,,4.33,0
Luxembourg,1965,28173.26665,-0.734933604,,,3.333679329,69.02541463,,5.33,0
Morocco,1965,,,,,3.48282122,45.973,,0.71,812
Maldives,1965,,,,,,41.383,,3.66,.
Mexico,1965,5072.63136,7.099999997,,,3.568038657,58.499,,2.96,0
Mali,1965,,,,,,30.623,,0.24,0
Malta,1965,,,,,1.602218456,68.40156098,,4.86,.
Mongolia,1965,,,,,,49.619,,3.21,0
Mauritania,1965,1614.388784,16.1383305,,,,48.059,,1.52,0
Malawi,1965,287.9254959,13.61649342,,,,35.724,,1.21,.
Malaysia,1965,1545.430486,7.684863475,,,-0.105485232,60.95,,3.39,1750
Niger,1965,867.0845952,6.919761818,,,4.373757456,36.753,,0.4,0
Nicaragua,1965,2312.252303,9.525155826,,,,50.193,,2.58,0
Netherlands,1965,17423.25487,8.643094936,,,3.908037828,73.56878049,,7.31,0
Norway,1965,23074.75689,5.285608801,,,4.18722444,73.72317073,,7.86,0
Nepal,1965,331.4827022,-1.203189018,,,8.471869328,40.446,,0.27,0
New Zealand,1965,,,,,3.397489756,71.22682927,,9.97,0
Pakistan,1965,521.8020801,10.41936582,,,5.568635479,49.444,,1.39,312
Panama,1965,3478.936629,9.160036262,,,0.461613217,63.558,,4.84,437
Peru,1965,3238.783309,5.621733449,,,16.38996139,53.183,,3.7,1500
Philippines,1965,1234.291002,5.345089329,,,2.564102564,60.898,,3.93,1375
Poland,1965,,,,,,69.42926829,,6.72,0
Portugal,1965,5271.646673,7.46898853,,,3.424927777,65.96046341,,2.46,750
Paraguay,1965,1695.689752,6.167974756,,,3.859298158,61.819,,3.69,0
Romania,1965,,,,,,67.70726829,,5.59,0
Rwanda,1965,272.5155651,7.009529255,,,,48.282,,0.94,.
Saudi Arabia,1965,,,,,0.389105059,48.782,,3.05,0
Sudan,1965,1348.700562,6.777074073,,,-2.446029391,46.935,,0.59,3937
Senegal,1965,1124.694523,1.332189491,,,,39.838,,2.11,0
Singapore,1965,4214.509287,7.834260465,,,0.178611297,67.5125122,,4.36,.
Sierra Leone,1965,562.0935194,7.180155792,,,,36.363,,0.67,.
El Salvador,1965,2653.550905,,,,0.456974673,50.897,,2.36,0
Sweden,1965,20583.86673,3.821507586,,,5.012771296,73.86170732,,7.96,0
Togo,1965,666.0528801,15.45971271,,,,43.97,,0.61,0
Thailand,1965,727.2735879,8.181661538,,,0.166333998,54.712,,2.28,1250
Trinidad and Tobago,1965,5236.750084,0.693850281,,,1.781617984,64.147,,5.98,.
Tunisia,1965,1089.602213,,,,,48.428,,1.3,0
Uganda,1965,,,,,,48.24,,1.24,.
Uruguay,1965,6549.795621,1.045604054,,,56.55655656,68.294,,5.2,250
South Africa,1965,4640.319987,6.122798096,,,4.069028735,54.192,,4.45,250
Zambia,1965,1368.07826,16.64745596,,,,50.563,,2.57,.
Zimbabwe,1965,1157.207401,4.910570587,,,,55.459,,2.51,.
