Country,Year,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu,PI
Cameroon,1980,1304.507919,-1.965291668,,,9.551754276,51.041,,3.04,0
Colombia,1980,3291.47155,4.087353676,,,26.55265315,66.868,,4.89,1875
Costa Rica,1980,6150.928664,0.751895403,,,18.1351708,72.899,,6.11,0
Cuba,1980,3605.158775,-4.849442951,,,,72.752,,8.06,0
Cyprus,1980,10667.1416,5.753244702,,,13.51756058,71.95,,7.5,0
Denmark,1980,32073.64132,-0.482986337,,,12.30532408,74.10170732,,8.14,0
Algeria,1980,3268.442983,0.790606972,,,9.517824498,53.261,,2.81,0
Ecuador,1980,4153.604764,3.708682969,,,11.90928938,63.191,,6.15,0
Spain,1980,14727.28352,2.208728107,34.5,,15.5619021,75.34926829,,6.81,2875
Finland,1980,23921.61452,5.38904788,,,11.59461925,73.44,,7.56,0
Fiji,1980,3574.119771,-1.603456935,,,14.49287441,62.734,,7.04,0
France,1980,23618.39962,1.57874526,,,13.56257885,74.05121951,,5.96,0
Gabon,1980,9174.080738,2.552937158,,,12.34035926,57.454,,3.31,0
United Kingdom,1980,23524.83697,-2.03136782,28.5,,17.96592427,73.67560976,,8.41,1562
Ghana,1980,896.7450472,0.471695943,,,50.07013934,51.117,,4.53,0
Greece,1980,15332.89431,0.677131487,,,24.67589397,74.54626829,,7.1,625
Guatemala,1980,3291.730582,3.75997816,,,10.82384323,56.024,,2.86,10625
Guyana,1980,3231.776126,1.733889727,,,,61.229,,6.49,1062
Honduras,1980,1723.831533,0.599354053,,,18.06154304,60.485,,3.62,0
Haiti,1980,2134.257107,7.374687919,,,17.77830525,49.902,,1.99,750
Hungary,1980,,,,,9.285857439,69.06170732,,9.0,0
Indonesia,1980,1067.172024,10.0,,,18.03543016,58.754,,3.63,1562
India,1980,388.8227791,6.735821529,,,11.34607348,53.611,,2.34,7125
Ireland,1980,16653.59115,3.079329065,,,18.1544433,72.59541463,,9.26,0
Iraq,1980,2911.17326,24.75372685,,,,61.5,,2.74,0
Iceland,1980,,,,,58.52842609,76.84658537,,7.88,0
Israel,1980,,,,,131.0249955,73.87560976,,10.27,750
Italy,1980,21795.25452,3.430016414,,,21.06416828,73.94317073,,6.71,1937
Jamaica,1980,3875.329165,-5.714159246,,,27.30815899,69.435,,6.08,1250
Jordan,1980,4311.989153,11.18484646,,,11.11111111,66.259,,4.55,0
Japan,1980,19334.37474,2.817591208,,,7.778581766,75.98902439,,9.1,125
Kenya,1980,1261.994632,5.591976206,,,13.85818146,58.501,,3.41,0
Cambodia,1980,,,,,,47.57,,2.54,3125
Kuwait,1980,,,,,6.928226686,70.341,,4.61,0
Liberia,1980,,,,,,44.631,,2.2,4750
Sri Lanka,1980,1008.529181,5.846026516,,,26.1454101,68.661,,6.96,0
Lesotho,1980,459.8253279,-2.74477924,,,16.27484162,56.058,,4.3,0
Luxembourg,1980,42705.33854,0.840882984,,,6.299900062,72.20680488,,8.22,0
Morocco,1980,1325.49353,3.642164813,,,9.408379474,55.219,,1.76,0
Maldives,1980,,,,,,55.621,,4.54,1875
Mexico,1980,8240.716123,8.756622426,,,26.35165136,64.703,,4.9,0
Mali,1980,443.4259655,-4.325839869,,,,40.751,,0.62,2937
Malta,1980,7684.722659,7.049711215,,,15.7472541,72.039,,7.21,0
Mongolia,1980,,,,,,55.64,,6.35,0
Mozambique,1980,249.8623206,,,,,42.801,,1.12,3125
Mauritania,1980,1581.045137,3.371210219,,,,55.061,,2.13,1875
Mauritius,1980,2327.601068,-10.0612585,,,41.99951439,65.8164878,,5.36,0
Malawi,1980,433.38791,0.406746413,,,,45.094,,2.34,0
Malaysia,1980,3159.742559,7.441826779,,,6.674919535,68.245,,5.76,0
Namibia,1980,3563.279243,,,,,56.775,,5.02,.
Niger,1980,628.0315773,-2.455036129,,,10.30527571,39.678,,0.65,0
Nicaragua,1980,1821.469807,4.61173228,,,,57.914,,3.75,250
Netherlands,1980,26365.67196,1.341914136,,,6.513455455,75.74317073,,9.46,125
Norway,1980,40217.74817,4.564242989,,,10.87866109,75.67170732,,8.96,0
Nepal,1980,333.205046,-2.319394205,,,14.68450278,47.889,,0.99,312
New Zealand,1980,23376.87201,1.284252173,,,17.15054542,72.82926829,,11.59,250
Pakistan,1980,744.8645744,10.21570404,,,11.93823091,57.606,,2.15,437
Panama,1980,5668.596845,13.08448173,,,13.80790191,69.254,,6.66,250
Peru,1980,3768.898142,5.943335398,,,59.14507124,59.589,,6.1,0
Philippines,1980,1853.073579,5.200711079,,,18.20051049,62.499,,6.21,2062
Papua New Guinea,1980,2095.466105,-2.303451201,,,12.06434316,57.435,,2.11,0
Poland,1980,,,,,9.682713348,70.09756098,,8.07,500
Portugal,1980,10816.95181,4.589339924,,,15.86748038,71.21463415,,4.65,250
Paraguay,1980,3562.600626,11.71214594,,,22.44733014,64.749,,5.2,0
Qatar,1980,,,,,6.799999999,70.801,,4.75,0
Romania,1980,,,,,,69.09097561,,8.21,0
Rwanda,1980,423.28705,8.95161233,,,7.249392993,47.963,,1.69,1875
Saudi Arabia,1980,33816.05061,5.652457601,,,4.169266554,62.698,,4.26,0
Sudan,1980,1260.146851,1.524310148,,,25.35236901,53.934,,1.27,0
Senegal,1980,1037.323898,3.987761972,,,8.729027661,49.142,,2.49,0
Singapore,1980,13953.89017,10.11337211,,,8.526943194,72.1902439,,5.26,0
Sierra Leone,1980,646.2485191,4.843503756,,,,43.13,,1.4,0
El Salvador,1980,2776.58408,-15.83686429,,,17.36696826,47.975,,3.59,14187
Sweden,1980,28654.97106,1.699971439,,,13.70632236,75.74097561,,9.86,250
Togo,1980,892.7560032,14.57695611,,,12.30685721,51.227,,2.8,0
Thailand,1980,1479.244582,5.173541006,,,19.70350052,64.012,,3.64,250
Tonga,1980,,,,,22.39338892,65.961,,8.01,0
Trinidad and Tobago,1980,8565.305659,10.39081014,,,17.47030428,67.572,,7.48,250
Tunisia,1980,1885.339084,7.418739595,,,,63.975,,3.25,0
Uganda,1980,,,,,,42.949,,2.29,2125
Uruguay,1980,8767.217258,5.843400901,,,63.47583043,70.582,,6.7,0
South Africa,1980,5409.676518,6.620583427,,,13.66024069,59.813,,5.11,6875
Zambia,1980,1078.246126,3.035622351,,,,54.143,,4.17,1875
Zimbabwe,1980,1537.130656,14.42068391,,,,58.674,,3.89,2812
Afghanistan,1985,,,,,,33.55,,1.57,3125
Albania,1985,1735.290312,1.780643959,,,,71.656,,7.78,0
United Arab Emirates,1985,80981.75348,-3.594476517,,,,70.747,,4.9,0
Argentina,1985,8987.933706,-5.189024353,,,,69.651,,7.85,250
Australia,1985,32860.65131,5.278528457,32.5,,6.734693878,75.62926829,,11.2,0
Austria,1985,27395.87265,2.498678497,,,3.189516818,73.81463415,,8.11,0
Burundi,1985,401.7672068,11.78318018,,,3.804286836,48.541,,1.54,0
Belgium,1985,25569.48933,1.651792899,25.2,,4.868733995,74.5202439,,8.97,375
Benin,1985,812.9483203,7.530324838,,,,50.374,,1.71,0
Bangladesh,1985,457.8429587,3.342014654,26.9,,,53.897,,2.82,687
Bulgaria,1985,4000.492544,2.683440741,,,,71.22804878,,8.55,0
Bahrain,1985,16549.30854,-4.758268538,,,-2.635969303,72.106,,5.65,0
Belize,1985,2921.91687,1.012513914,,,6.237166118,69.462,,7.91,0
Bolivia,1985,1680.794018,-1.676389781,,,11749.63963,53.446,,6.38,1437
Brazil,1985,6110.358401,7.85,55.6,,225.9896652,64.198,,3.94,0
Barbados,1985,13606.77057,1.098239807,,,3.915105251,72.495,,7.98,0
Botswana,1985,2654.135854,7.125271268,54.2,,8.0945758,62.626,,5.29,0
Central African Republic,1985,585.0904821,3.927219538,,,10.42384023,50.518,,2.06,0
Canada,1985,29868.59147,4.737399892,33.2,,3.962030541,76.32731707,,9.94,0
Switzerland,1985,62910.65814,3.673595873,,,3.435399353,76.73365854,,10.31,0
Chile,1985,4257.652248,4.009916203,,,30.70349891,71.176,,7.65,3937
China,1985,667.1285419,13.43067752,,,,66.643,,5.72,125
Cameroon,1985,1771.165361,8.063161671,,,8.508374344,53.899,,3.7,0
Colombia,1985,3283.229428,3.107106196,,,24.09017437,66.276,,5.49,1250
Costa Rica,1985,5434.231851,0.721601729,,,15.05741964,75.111,,6.7,0
Cuba,1985,5250.365688,1.596674598,,,,73.605,,8.09,0
Cyprus,1985,13126.66895,4.882540773,,,5.034453664,72.647,,8.44,125
Denmark,1985,36783.94104,4.003751815,,,4.678751452,74.42756098,,8.77,250
Algeria,1985,3500.417046,3.699997255,,,10.48228704,63.588,,3.99,0
Ecuador,1985,4124.898911,3.935001412,,,27.99361074,65.811,,6.56,0
Spain,1985,15381.84457,2.321435946,34.4,,8.814455067,76.2595122,,6.89,1375
Finland,1985,26857.59364,3.548896587,,,5.195621954,74.22292683,,7.44,0
Fiji,1985,3143.840704,-4.613474868,,,4.420972396,64.526,,7.62,0
France,1985,24870.50582,1.622781367,,,5.831099739,75.3,,6.91,750
Gabon,1985,9061.080192,-2.332949333,,,7.354925776,59.311,,4.3,0
United Kingdom,1985,26315.12865,4.14741495,30.4,,6.07139434,74.62926829,,8.68,1937
Ghana,1985,762.8190667,5.091617272,,,10.30544067,52.416,,5.2,0
Greece,1985,14984.03162,2.509556515,,,19.31469294,76.08290244,,7.89,937
Guatemala,1985,2718.251753,-0.609338956,,,18.6867913,60.203,,3.16,2000
Guyana,1985,2599.473246,2.399667458,,,,61.66,,6.87,0
Honduras,1985,1627.072074,5.626234849,,,3.362675236,62.996,,4.49,1562
Haiti,1985,1840.71117,0.603631294,,,10.64883901,51.523,,2.94,250
Hungary,1985,,,,,6.942345019,68.97219512,,8.99,0
Indonesia,1985,1202.353391,2.463054187,,,4.724536157,61.307,,3.86,0
India,1985,446.5773324,5.254299223,,,5.556424232,56.334,,2.89,10187
Ireland,1985,18218.35017,3.085615629,,,5.395497315,73.62190244,,9.97,0
Iraq,1985,2250.769305,1.453896262,,,,60.68,,3.73,0
Iceland,1985,,,,,31.99462902,77.60243902,,8.33,0
Israel,1985,,,,,309.9316992,75.20731707,,10.49,750
Italy,1985,23626.74927,2.798085767,,,9.205991443,75.47073171,,7.18,875
Jamaica,1985,3683.772152,-2.943635575,,,25.67310124,70.52,,6.63,625
Jordan,1985,4322.914259,-2.706947165,,,2.985074627,68.26,,5.68,0
Japan,1985,22898.99424,5.159807905,,,2.032277346,77.5604878,,9.63,0
Kenya,1985,1189.409306,4.300561819,,,13.00656642,60.58,,4.13,0
Cambodia,1985,,,,,,51.041,,2.8,1562
Kuwait,1985,,,,,1.490321814,73.074,,5.54,0
Liberia,1985,,,,,,44.664,,2.69,2187
Sri Lanka,1985,1192.416567,4.999406369,32.5,,1.481180122,70.969,,7.62,1250
Lesotho,1985,465.0916801,2.61024933,,,13.32082552,59.104,,4.64,0
Luxembourg,1985,47945.84837,2.791704465,26.3,,4.093587785,73.53419512,,8.5,0
Morocco,1985,1428.868896,6.007652072,,,7.728638901,59.286,,2.29,0
Maldives,1985,,,,,,59.749,,4.82,0
Mexico,1985,8212.921774,1.919215786,,,57.7484484,67.874,,5.77,312
Mali,1985,458.4617586,20.28663494,,,,43.207,,0.78,0
Malta,1985,7865.528452,2.585279666,,,-0.23520746,73.06368293,,8.04,0
Mongolia,1985,1661.736089,5.712872261,,,,56.841,,7.02,0
Mozambique,1985,175.0253574,0.999996721,,,,38.657,,1.17,3125
Mauritania,1985,1424.966417,2.994760504,,,,57.575,,2.43,0
Mauritius,1985,2766.590287,6.954475462,,,6.698703947,67.49063415,,5.86,0
Malawi,1985,395.1817312,4.570982013,,,10.51897599,44.947,,2.65,0
Malaysia,1985,3548.788587,-1.025250253,,,0.346458791,70.318,,6.72,0
Namibia,1985,3147.809821,0.464171262,,,,59.041,,5.62,3125
Niger,1985,473.8835086,7.71812745,,,-0.923399124,40.031,,0.83,0
Nicaragua,1985,1650.419836,-4.081851487,,,,56.501,,4.1,3125
Netherlands,1985,27220.21944,2.580179771,,,2.25858443,76.28463415,,9.92,0
Norway,1985,46901.32429,5.553404923,,,5.71485464,75.91682927,,9.69,0
Nepal,1985,376.3712943,6.144905237,,,8.052641266,50.882,,1.76,250
New Zealand,1985,26087.50697,1.61533455,,,15.41765557,73.82926829,,11.71,0
Pakistan,1985,858.1367285,7.592114699,,,5.614839218,59.363,,2.51,1312
Panama,1985,5980.010557,4.942233652,,,1.026619893,70.732,,7.34,125
Peru,1985,3331.143741,2.061132066,,,163.3995052,61.292,,6.62,1500
Philippines,1985,1548.896509,-6.858377209,,,23.10310718,63.505,,6.58,4250
Papua New Guinea,1985,2020.23212,4.000190344,,,3.71040724,58.866,,2.61,0
Poland,1985,,,,,11.52126074,70.54878049,,8.5,0
Portugal,1985,11015.09312,2.807438851,,,19.46141001,72.81463415,,5.42,250
Paraguay,1985,3479.869123,4.523135678,,,25.21071644,66.315,,5.8,0
Qatar,1985,,,,,1.912568307,72.381,,5.18,0
Romania,1985,,,,,,69.70682927,,8.78,0
Rwanda,1985,403.1338548,4.402748333,,,1.759330057,51.734,,1.88,0
Saudi Arabia,1985,15568.1731,-9.794502265,,,-3.058768729,66.33,,5.17,0
Sudan,1985,1122.722046,-6.281043581,,,45.40750323,46.458,,1.71,6937
Senegal,1985,1045.90769,3.463084465,,,13.00005762,52.758,,2.43,0
Singapore,1985,17149.3155,-0.62270165,,,0.480122911,73.8902439,,5.97,0
Sierra Leone,1985,603.7439331,-5.311340498,,,,43.888,,1.75,0
El Salvador,1985,2347.620332,0.614316239,,,22.32837506,57.025,,4.25,4375
Sweden,1985,31472.59161,2.160373746,,,7.372574581,76.66780488,,10.2,0
Togo,1985,746.0593946,5.555552164,,,-1.814414382,53.432,,3.42,0
Thailand,1985,1743.384392,4.647240357,,,2.431731234,67.587,,4.15,3125
Tonga,1985,2651.413985,6.55846346,,,16.765,66.626,,7.98,0
Trinidad and Tobago,1985,7084.705266,-4.119419554,,,7.622574055,67.543,,7.98,0
Tunisia,1985,2036.998614,5.648573237,43.4,,7.2543618,67.589,,3.7,0
Uganda,1985,337.655563,-3.306380007,,,,45.381,,2.86,3125
Uruguay,1985,7063.189637,1.466536029,,,72.22256443,72.123,,7.24,0
South Africa,1985,5050.868355,-1.211540882,,,16.29422694,62.38,,5.11,10437
Zambia,1985,944.9781252,1.615310368,,,,51.902,,4.61,0
Zimbabwe,1985,1534.681701,6.944387768,,,,61.624,,4.67,1250
Afghanistan,1990,,,,,,45.967,,1.87,5250
Albania,1990,1606.296468,-9.57564017,,,,73.144,,8.5,2375
United Arab Emirates,1990,66911.08935,18.32798553,,,,71.9,,6.11,0
Argentina,1990,8144.494294,-2.467213778,,,,71.784,,8.37,1500
Australia,1990,36887.25166,3.57912305,,12.22772705,7.333021952,76.99463415,,11.18,0
Austria,1990,31340.68129,4.345641399,,,3.261872319,75.56829268,,8.36,125
Burundi,1990,435.070943,3.499822136,,,7.002169567,44.86,,1.74,0
Belgium,1990,29441.66215,3.137402316,,,3.44831218,76.05195122,,9.43,312
Benin,1990,771.075864,8.97613436,,,,53.292,,2.16,562
Bangladesh,1990,493.0950726,5.622258162,,,6.12671847,55.989,,3.13,1125
Bulgaria,1990,4431.028876,-9.117377096,,,23.8,71.64146341,,8.42,3437
Bahrain,1990,17405.8852,4.437997176,,8.727364185,0.929335437,72.668,,6.54,0
Belize,1990,4112.335135,9.474652017,,21.24223864,3.05907173,70.744,,8.76,0
Bolivia,1990,1687.442724,4.635787428,,,17.1187746,56.422,,7.26,250
Brazil,1990,6086.077553,-4.35,60.5,,2947.732772,65.985,,4.69,625
Barbados,1990,15156.21212,-3.307593308,,,3.074572711,72.752,,8.45,0
Botswana,1990,3931.730226,6.772821949,,11.37110325,11.39634612,60.533,,6.86,0
Central African Republic,1990,531.3860052,-2.147528066,,,-0.012330456,49.635,,2.67,0
Canada,1990,31707.4817,0.164672497,31.4,,4.780476933,77.43658537,,10.33,1187
Switzerland,1990,70063.85169,3.674625593,,12.32532176,5.403959092,77.24243902,,10.01,0
Chile,1990,5380.317901,3.333565474,57.2,,26.03648114,72.574,,8.36,2187
China,1990,905.0324572,3.920251368,32.2,,3.052290121,68.005,,6.04,2125
Cameroon,1990,1348.73035,-6.105697646,,35.6686948,1.099381284,54.868,,4.37,125
Colombia,1990,3695.805804,4.281998331,,,29.1520246,68.644,,5.99,7187
Costa Rica,1990,5967.190942,3.553063366,45.3,,19.03975266,76.63,,7.11,125
Cuba,1990,4963.847383,-2.948564945,,,,74.039,,8.54,0
Cyprus,1990,17143.34766,7.403999507,,86.61874584,4.502054629,73.539,,9.14,0
Germany,1990,29485.70997,5.255006083,,20.93058961,2.696468243,75.08563415,,8.6,0
Denmark,1990,39295.24344,1.475244277,,,2.641603064,74.80536585,,9.35,0
Algeria,1990,3153.47583,0.80000058,,,16.65253439,67.416,,4.74,0
Ecuador,1990,4180.338333,3.679914053,,,48.519113,69.348,,7.0,1875
Spain,1990,18969.80864,3.781393555,32.0,35.13232241,6.721819522,76.83756098,,7.02,312
Finland,1990,31279.95197,0.670275844,,10.47561955,6.149565312,74.81317073,,7.55,0
Fiji,1990,3383.821623,5.80000272,,,8.19137132,65.508,,9.07,375
France,1990,28617.44357,2.923935081,32.1,,3.19428338,76.6,,7.65,875
Gabon,1990,8360.263031,5.192237277,,,7.725321888,60.311,,5.25,1625
United Kingdom,1990,30874.50893,0.733755496,35.7,30.20337095,8.063460909,75.8804878,,9.1,4250
Ghana,1990,852.4215567,3.328817883,,,37.25906649,55.62,,5.65,0
Greece,1990,15525.7741,0.0,,,20.43349911,76.93902439,,8.58,2000
Guatemala,1990,2733.861238,3.102563176,,24.48068514,41.22186714,62.473,,3.53,6250
Guyana,1990,2386.057159,-3.067484664,,,,62.415,,7.09,0
Honduras,1990,1704.928897,2.79174895,57.4,,23.32256644,65.243,,4.89,3187
Haiti,1990,1610.654941,1.038122802,,,21.27603201,52.975,,3.43,1062
Hungary,1990,,,,,28.36959965,69.31560976,,8.79,250
Indonesia,1990,1483.638032,7.224334601,32.3,45.74145233,7.819191447,63.181,,4.18,3125
India,1990,534.4840996,5.533454561,,50.78325379,8.971232503,58.652,,3.45,11875
Ireland,1990,23085.21414,8.466527782,,,3.317321299,74.84607317,,10.12,0
Iraq,1990,3511.166527,57.81782834,,,,58.435,,4.58,250
Iceland,1990,,,,29.91436565,15.51072199,78.03634146,,8.78,0
Israel,1990,,,,,17.18589524,76.60731707,,10.83,5125
Italy,1990,27490.63204,1.985774943,,,6.456609061,76.97073171,,7.7,625
Jamaica,1990,4503.50415,4.200535115,41.1,138.7413276,21.96017512,72.304,,7.15,0
Jordan,1990,3332.360172,-0.275903906,,128.7946833,16.19213756,69.854,,6.61,0
Japan,1990,28422.21312,4.840929057,,52.01269209,3.078516287,78.83707317,,9.82,312
Kenya,1990,1313.859163,4.192050972,,,17.78181443,58.614,,4.78,1437
Cambodia,1990,,,,,,55.434,,3.09,3875
Kuwait,1990,,,,,9.833635315,73.281,,5.92,250
Liberia,1990,,,,,,36.688,,3.02,4562
Sri Lanka,1990,1320.637354,6.399995311,32.4,96.58062551,21.49525205,71.927,,8.51,3125
Lesotho,1990,536.9997295,6.045473329,,,11.634757,59.398,,5.12,2375
Luxembourg,1990,66027.0758,5.319931127,27.7,2.520160788,3.253766591,75.43831707,,8.91,0
Morocco,1990,1682.328125,3.411812226,39.2,87.19675998,6.782594015,62.448,,2.86,875
Maldives,1990,,,,30.78233776,3.649911977,63.578,,4.43,0
Mexico,1990,8145.016153,5.250043299,,46.62685739,26.65167256,69.971,,6.47,312
Mali,1990,469.4024926,-2.502395103,,,0.606339704,46.62,,0.89,0
Malta,1990,10074.3091,6.291390958,,46.91169936,2.983405861,75.87997561,,8.73,0
Mongolia,1990,1770.541044,-3.184460178,,,,58.765,,7.76,875
Mozambique,1990,217.5775535,0.999992835,,,,44.469,,1.0,3125
Mauritania,1990,1398.941059,-1.771304533,,,6.600225649,59.77,,2.76,0
Mauritius,1990,3810.480833,7.186736771,,39.65035497,13.48808879,69.40487805,,6.49,0
Malawi,1990,354.000744,5.692294634,,,11.82353805,43.323,,2.9,0
Malaysia,1990,4260.279935,9.008527138,,79.53661793,2.617801047,71.307,,6.97,0
Namibia,1990,2857.947224,2.04745994,,,,62.496,,6.15,0
Niger,1990,461.2155281,-1.308478285,,,-0.775653011,41.852,,1.04,437
Nicaragua,1990,1241.396223,-0.052499721,,,,63.096,,4.49,4187
Netherlands,1990,31106.05196,4.183222986,31.1,54.80317756,2.454091848,76.87804878,,10.28,0
Norway,1990,49937.45578,1.932291328,,19.84701165,4.131033483,76.53731707,,10.28,0
Nepal,1990,420.7431199,4.635036347,,52.62058095,8.239700375,54.833,,2.49,4562
New Zealand,1990,26371.00332,0.153140526,,,6.098444148,75.37804878,,11.62,0
Pakistan,1990,956.9938447,4.458586815,33.2,78.77253509,9.052131553,60.066,,2.92,2500
Panama,1990,5186.250569,8.098993006,,,0.769485355,71.097,,7.65,2125
Peru,1990,2695.373504,-4.982563536,,189.2462856,7481.663611,65.106,,7.23,5562
Philippines,1990,1739.945187,3.082672529,,45.00767451,12.17735221,65.909,,7.1,8500
Papua New Guinea,1990,1907.733734,-3.012169222,,48.95325401,6.953361599,59.721,,3.05,1875
Poland,1990,5111.34533,,,,567.8788007,70.8902439,,9.06,500
Portugal,1990,14572.28838,3.950522763,,,13.63057057,73.96585366,,6.0,312
Paraguay,1990,4036.32209,4.123282879,40.8,,37.25995618,67.944,,6.11,125
Qatar,1990,,,,,3.000968054,73.982,,5.58,0
Romania,1990,5017.16139,,,,,69.74121951,,9.32,3250
Rwanda,1990,371.0410707,-2.399291098,,49.79692027,4.185763726,48.431,,2.18,1875
Saudi Arabia,1990,17758.83504,15.19342589,,,2.077151335,68.948,,5.84,0
Sudan,1990,1300.544556,-5.470053776,,,65.158098,49.732,,2.15,3125
Senegal,1990,1015.037107,-0.746282224,,,0.32509863,56.948,,2.33,0
Singapore,1990,23272.70009,9.820899557,,77.85531186,3.460753387,75.29512195,,6.66,0
Sierra Leone,1990,549.5748054,3.349997984,,,,44.057,,2.09,0
El Salvador,1990,2362.444301,4.832900578,,,23.99916511,62.55,,4.67,3125
Sweden,1990,34570.30573,0.754674769,,,10.36655339,77.53682927,,10.58,250
Togo,1990,725.9186544,-0.243656134,,,1.015341505,54.37,,3.99,500
Thailand,1990,2608.168363,11.16716344,45.3,18.44775385,5.863994744,70.445,,4.85,250
Tonga,1990,2644.91203,-2.044091435,,,9.709863846,67.294,,8.77,0
Trinidad and Tobago,1990,5992.063827,1.509167843,,,11.06442577,68.272,,8.46,2125
Tunisia,1990,2085.533448,7.949819437,40.2,54.7703801,6.545293073,70.11,,4.39,250
Uganda,1990,369.4873992,6.474140153,,,,46.443,,3.48,1875
Uruguay,1990,8286.698233,0.297348379,,31.59596304,112.5259056,73.162,,7.45,1500
South Africa,1990,4643.222315,-0.317760427,,32.39719496,14.32095573,63.375,,6.81,3750
Zambia,1990,889.9931242,-0.481072028,,244.3805364,107.0238095,47.926,,4.89,2312
Zimbabwe,1990,1648.573181,6.988552933,,,,59.426,,5.73,0
Afghanistan,1995,,,,,,52.544,8.26,2.26,5250
Albania,1995,1488.020881,13.32233332,,35.75690391,7.793218538,74.362,14.611,8.22,0
United Arab Emirates,1995,62877.68408,6.687886464,,,,72.695,1.8,7.51,0
Argentina,1995,9969.331576,-2.845209611,48.9,,,73.133,18.8,8.64,2375
Armenia,1995,928.0924966,6.89999842,,,175.9513255,69.311,6.7,10.43,0
Australia,1995,39309.99466,3.883164804,32.6,21.6803201,4.6277666,77.82926829,8.47,11.2,0
Austria,1995,33790.48499,2.667983531,29.9,,2.243366315,76.66829268,4.34,8.81,0
Burundi,1995,354.1161809,-7.920000004,,128.9192191,19.26325364,44.059,2.892,2.18,4062
Belgium,1995,31329.89207,2.38475728,28.4,125.5765909,1.467966991,76.84073171,9.34,10.0,0
Benin,1995,804.350333,6.04519865,,,14.46254822,55.295,1.237,2.61,0
Bangladesh,1995,559.6892306,5.121277897,32.9,,10.29781179,59.467,2.464,3.68,2375
Bulgaria,1995,4025.645827,2.862019072,,,62.05483368,71.05341463,11.1,8.86,500
Bahrain,1995,20403.37053,3.929991545,,16.98645162,2.704034751,73.799,1.128,7.1,687
Belize,1995,4968.793189,0.731558306,,27.57878886,2.889615844,69.887,12.48,9.4,125
Bolivia,1995,1866.652933,4.678276597,,57.41137939,10.19320676,59.534,2.752,7.83,1375
Brazil,1995,6524.518853,4.223793634,59.6,,66.00703355,67.919,7.09,5.58,375
Barbados,1995,14219.10438,2.013998,,,1.878862794,73.298,19.66,8.88,0
Botswana,1995,4271.470886,7.030410248,,10.97207607,10.51254608,55.059,21.35,8.24,312
Central African Republic,1995,478.3438948,7.200045558,,,19.18940397,47.35,5.442,2.99,0
Canada,1995,32612.23203,2.693976276,31.5,77.31262198,2.148760331,77.97731707,9.49,10.71,312
Switzerland,1995,67264.91129,0.480866449,,22.49520878,1.799827769,78.41707317,3.09,9.83,0
Chile,1995,7277.561894,8.933295869,,17.37231577,8.232630341,74.609,4.7,8.78,125
China,1995,1520.029469,10.95395434,,,16.79122517,70.008,3.0,6.79,375
Cameroon,1995,1049.706663,2.894001377,,106.2809792,9.069690719,53.222,7.968,5.0,0
Colombia,1995,4170.457695,5.202437593,,,20.89179302,69.933,8.72,6.47,8937
Costa Rica,1995,6867.637672,4.153953048,45.7,,23.18649811,76.552,5.18,7.42,375
Cuba,1995,3348.476634,2.457201172,,,,74.623,8.27,8.8,0
Cyprus,1995,19452.57422,8.362469305,,,2.61581788,75.133,2.6,9.6,0
Germany,1995,31628.15981,1.544146496,28.7,,1.706160413,76.42195122,8.16,9.44,125
Denmark,1995,43310.25009,3.027587267,23.0,,2.083608424,75.21268293,6.99,10.04,0
Algeria,1995,2862.107868,3.79999479,35.3,,29.77962649,67.454,31.84,5.41,4750
Ecuador,1995,4374.268716,2.252548774,,,22.93413441,71.041,4.632,7.1,812
Spain,1995,20001.7908,2.757494046,35.7,57.88357149,4.673803376,77.98073171,22.68,8.11,562
Estonia,1995,7137.530776,,,,28.77661372,67.54390244,9.66,10.38,0
Finland,1995,29912.89797,4.21686747,23.5,,0.791239407,76.4095122,17.0,8.59,0
Fiji,1995,3786.078553,2.499998538,,,2.165647214,66.286,4.778,10.11,250
France,1995,29745.12873,2.106629158,,,1.796481421,77.75121951,11.83,8.82,2250
Gabon,1995,8524.419156,4.973847763,,,9.646531041,60.704,17.62,6.25,0
United Kingdom,1995,33009.30415,2.531670045,35.5,88.53758606,2.697495183,76.83658537,8.69,9.44,1812
Ghana,1995,931.1804337,4.112418972,,,59.4615537,56.565,6.451,5.89,125
Greece,1995,15946.75512,2.099719416,37.0,,8.93451416,77.58536585,9.06,8.73,375
Guatemala,1995,2965.885979,4.948547502,,11.40499902,8.411413123,64.195,2.664,3.8,3500
Guyana,1995,3342.172075,5.031446558,,,12.21052632,63.136,11.884,7.68,0
Honduras,1995,1722.533042,6.189304558,55.5,,29.46452923,67.139,3.24,5.26,1687
Croatia,1995,7305.939776,,,,3.95010395,72.08439024,10.18,9.08,0
Haiti,1995,1291.07739,9.897707488,,,27.60818517,55.547,7.301,3.92,5187
Hungary,1995,7675.578171,1.489525476,,86.11386343,28.30546837,69.79170732,10.17,10.41,0
Indonesia,1995,1922.352118,8.220007399,,30.80432488,9.420323216,65.237,4.597,4.62,3187
India,1995,618.1392879,7.574491838,,47.4916413,10.22488616,60.596,7.014,4.12,3125
Ireland,1995,28192.77549,9.634421619,37.0,,2.52486728,75.46980488,11.97,10.39,0
Iraq,1995,1949.578297,2.120021498,,,387.3108478,66.464,9.021,5.09,5875
