Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2010,Panama,9.0,4.0,0.0,0.5734,1.0,1.0,64.2674,2.6350000000000002
2000,Papua New Guinea,4.0,1.6,1550.0,0.5808,2.0,2.0,13.725999999999999,4.6812
2005,Papua New Guinea,4.0,1.8,375.0,0.5162,2.4,2.4,13.164600000000002,4.4116
2010,Papua New Guinea,4.0,0.2,625.6666666666666,0.488,3.4,3.4,13.072999999999999,4.08
2000,Paraguay,6.8,0.0,849.8,0.7496,4.0,4.0,53.4132,3.9018
2005,Paraguay,7.4,0.0,25.0,0.5932000000000001,3.6,3.6,56.43579999999999,3.3256
2010,Paraguay,8.0,0.0,774.6666666666666,0.5866,3.0,3.0,58.2856,2.91
2000,Peru,-1.0,4.2,3412.2,1.0464,4.8,4.8,71.79459999999999,3.1071999999999997
2005,Peru,-10.4,4.0,2387.4,0.8827999999999999,2.0,2.0,73.8466,2.7232
2010,Peru,9.0,4.0,150.66666666666666,0.8714000000000001,2.0,2.0,75.71020000000001,2.6546
2000,Philippines,8.0,0.0,4762.4,1.1423999999999999,2.0,2.0,46.39,3.9088000000000003
2005,Philippines,8.0,0.0,4687.4,0.916,2.0,2.0,45.964999999999996,3.647
2010,Philippines,8.0,0.0,1801.0,0.9532,3.6,3.6,45.5402,3.4374000000000002
2000,Poland,9.0,2.4,100.0,0.9002000000000001,1.0,1.0,61.5826,1.506
2005,Poland,9.6,4.0,25.0,0.7118,1.0,1.0,61.7008,1.276
2010,Poland,10.0,2.2,146.0,0.7398,1.0,1.0,61.2284,1.3219999999999998
2000,Portugal,10.0,0.0,0.0,0.7934,1.0,1.0,52.427200000000006,1.458
2005,Portugal,10.0,0.0,25.0,0.7844,1.0,1.0,55.6606,1.46
2010,Portugal,10.0,0.0,543.0,0.7666000000000001,1.0,1.0,58.7462,1.372
2000,Qatar,-10.0,0.0,0.0,1.4604,6.8,6.8,95.6012,3.4235999999999995
2005,Qatar,-10.0,0.4,0.0,0.8924,6.0,6.0,96.6934,3.021
2010,Qatar,-10.0,0.6,0.0,0.9408,6.0,6.0,97.8918,2.3598
2000,Romania,7.4,2.6,0.0,1.4482,2.4,2.4,53.4634,1.314
2005,Romania,8.2,0.0,25.0,1.2598,2.2,2.2,52.9182,1.296
2010,Romania,9.0,0.0,1333.3333333333333,1.2204000000000002,2.0,2.0,53.436,1.5059999999999998
2000,Rwanda,-6.0,11.6,800.0,0.7236,7.0,7.0,12.197,6.176
2005,Rwanda,-3.6,11.6,25.0,0.8183999999999999,6.6,6.6,16.268800000000002,5.753400000000001
2010,Rwanda,-3.0,6.6,625.6666666666666,0.8089999999999999,6.0,6.0,16.921,5.0866
2000,Saudi Arabia,-10.0,3.4,25.0,0.8832000000000001,7.0,7.0,79.1452,4.5958
2005,Saudi Arabia,-10.0,3.2,0.0,1.0006,7.0,7.0,80.30260000000001,3.714
2010,Saudi Arabia,-10.0,7.0,276.6666666666667,1.1648,7.0,7.0,81.42519999999999,3.1271999999999998
2000,Senegal,-1.0,1.0,375.0,0.9004,4.0,4.0,39.8914,5.667
2005,Senegal,8.0,0.4,0.0,0.9832000000000001,2.4,2.4,40.719,5.3314
2010,Senegal,7.4,0.0,439.3333333333333,1.0736,2.4,2.4,42.5358,5.1252
2005,Serbia,7.0,0.3333333333333333,0.0,1.054,2.6666666666666665,2.6666666666666665,44.18800000000001,5.0360000000000005
2010,Serbia,8.0,0.0,2.6666666666666665,1.7145000000000001,2.75,2.75,54.43875,1.4124999999999999
2000,Sierra Leone,-46.8,2.4,2025.0,0.6277999999999999,4.8,4.8,34.9058,6.5112
2005,Sierra Leone,-30.0,1.2,0.0,0.657,4.0,4.0,36.11,6.1792
