Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2005,Croatia,8.0,0.0,0.0,1.6412,2.0,2.0,53.801199999999994,1.422
2010,Croatia,9.0,0.0,0.0,1.532,1.8,1.8,54.650999999999996,1.484
2000,Cuba,-7.0,0.0,50.0,2.7902,7.0,7.0,74.65299999999999,1.5354
2005,Cuba,-7.0,0.0,0.0,2.7628,7.0,7.0,75.7302,1.5715999999999999
2010,Cuba,-7.0,0.0,41.666666666666664,2.9866,7.0,7.0,76.3198,1.5097999999999998
2000,Cyprus,10.0,3.0,0.0,1.0273999999999999,1.0,1.0,68.2828,1.8564
2005,Cyprus,10.0,0.2,0.0,1.1576,1.0,1.0,68.6148,1.5448
2010,Cyprus,10.0,1.0,0.3333333333333333,1.3218,1.0,1.0,67.98179999999999,1.4814
2000,Denmark,10.0,0.0,0.0,1.4108,1.0,1.0,85.0328,1.75
2005,Denmark,10.0,0.0,137.4,1.3066,1.0,1.0,85.2852,1.754
2010,Denmark,10.0,0.0,0.0,1.2558,1.0,1.0,86.27759999999999,1.844
2000,Djibouti,-4.8,9.2,375.0,1.6280000000000001,4.8,4.8,76.3928,4.9794
2005,Djibouti,1.0,7.2,0.0,1.467,4.4,4.4,76.624,4.3626000000000005
2010,Djibouti,2.0,5.6,0.3333333333333333,1.5152,5.0,5.0,76.8528,3.7293999999999996
2000,Dominican Republic,7.4,0.0,399.6,0.818,2.8,2.8,59.271,2.9664
2005,Dominican Republic,8.0,0.2,25.0,0.9012,2.2,2.2,63.659400000000005,2.766
2010,Dominican Republic,8.0,0.6,152.33333333333334,0.9762000000000001,2.0,2.0,69.9884,2.5474
2000,Ecuador,9.0,6.0,1324.8,0.5576000000000001,2.2,2.2,58.782999999999994,3.286
2005,Ecuador,6.0,4.0,899.8,0.7926,3.0,3.0,61.0092,2.975
2010,Ecuador,5.6,4.0,708.3333333333334,0.7714000000000001,3.0,3.0,62.1034,2.7163999999999997
2000,El Salvador,7.0,2.0,87.4,0.8474,2.4,2.4,56.39,3.4104
